Measure Number,Measure Short Name,Measure Long Name,Installation MET Type,Measure Sort
F0412,Back Up Power,F0412 - Generator / UPS / back up power adequate to meet mission requirements,Receives,1
F1412,Back Up Power,F1412 - Provide generator / UPS / back up power adequate to meet mission requirements,Provides,1
F0950,Chaplain,F0950 - Chaplain support is adequate to meet mission requirements,Receives,2
F1950,Chaplain,F1950 - Provide adequate chaplain support to meet mission requirements,Provides,2
F0414,Chiller System,F0414 - Chiller system is adequate to meet mission requirements,Receives,3
F1414,Chiller System,F1414 - Provide chiller system adequate to meet mission requirements,Provides,3
F0410,Civil Engineering,F0410 - Civil engineering and real property support is adequate to meet mission requirements,Receives,4
F1410,Civil Engineering,F1410 - Provide adequate civil engineering and real property support to meet mission requirements,Provides,4
F0411,Comm Power,F0411 - Commercial power adequate to meet mission requirements,Receives,5
F1411,Comm Power,F1411 - Provide commercial power adequate to meet mission requirements,Provides,5
F0600,Communications,F0600 - Communications systems are adequate to support to meet mission requirements,Receives,6
F1600,Communications,F1600 - Provide adequate communications support to meet mission requirements,Provides,6
F0120,Contracting Office,F0120 - Contracting Office support is sufficient to meet mission requirements,Receives,7
F1120,Contracting Office,F1120 - Provide adequate Contracting Office support to meet mission requirements,Provides,7
F0130,Contractor Support,F0130 - Contractor support is adequate to meet mission requirements,Receives,8
F1130,Contractor Support,F1130 - Provide adequate contractor support to meet mission requirements,Provides,8
F0433,COOP,F0433 - COOP or alternate facility is adequate to meet mission requirements,Receives,9
F1433,COOP,F1433 - Provide COOP or alternate facility adequate to meet mission requirements,Provides,9
F0602,Cyber Defense,F0602 - Cyber defense support is adequate to meet mission requirements,Receives,10
F1602,Cyber Defense,F1602 - Provide adequate cyber defense support to meet mission requirements,Provides,10
F0930,Facility Funding,F0930 - Facility funding is adequate to meet mission requirements,Receives,11
F1930,Facility Funding,F1930 - Provide adequate funding for facility requirements,Provides,11
F0430,Facility Maintenance,F0430 - Facility maintenance is adequate to meet mission requirements,Receives,12
F1430,Facility Maintenance,F1430 - Provide Facility maintenance adequate to meet mission requirements,Provides,12
F0122,Finance Support,F0122 - Finance support is adequate to meet mission requirements,Receives,13
F1122,Finance Support,F1122 - Provide adequate finance support to meet mission requirements,Provides,13
F0421,Fire & Emergency,F0421 - Fire and emergency services are adequate to support mission requirements,Receives,14
F1421,Fire & Emergency,F1421 - Provide adequate fire and emergency services support to meet mission requirements,Provides,14
F0422,Fire Suppression,F0422 - Fire suppression is adequate to meet mission requirements,Receives,15
F1422,Fire Suppression,F1422 - Provide fire suppression adequate to meet mission requirements,Provides,15
F0110,Force Support,F0110 - Force Support is adequate to meet mission requirements,Receives,16
F1110,Force Support,F1110 - Provide adequate force support to meet mission requirements,Provides,16
F0413,HVAC,F0413 - HVAC is adequate to meet mission requirements,Receives,17
F1413,HVAC,F1413 - Provide HVAC adequate to meet mission requirements,Provides,17
F0940,Legal,F0940 - Legal office support is adequate to meet mission requirements,Receives,18
F1940,Legal,F1940 - Provide adequate legal office support to meet mission requirements,Provides,18
F0440,Logistics Readiness,F0440 - Logistics readiness supports adequate  to meet mission requirements,Receives,19
F1440,Logistics Readiness,F1440 - Provide adequate logistics readiness support to meet mission requirements,Provides,19
F0900,Medical,F0900 - Medical support is adequate to meet mission requirements,Receives,20
F1900,Medical,F1900 - Provide adequate medical support to meet mission requirements,Provides,20
F0960,Mental Health,F0960 - Mental health support is adequate to meet mission requirements,Receives,21
F1960,Mental Health,F1960 - Provide adequate mental health support to meet mission requirements,Provides,21
F0601,NIPR/SIPR/JWICS,F0601 - NIPR / SIPR / JWICS equipment and accounts are adequate to support to meet mission requirements,Receives,22
F1601,NIPR/SIPR/JWICS,F1601 - Provide adequate NIPR / SIPR / JWICS equipment and account support to meet mission requirements,Provides,22
F0432,SCIF,F0432 - SCIF space is adequate to meet mission requirements,Receives,23
F1432,SCIF,F1432 - Provide SCIF adequate to meet mission requirements,Provides,23
F0450,Security Forces,F0450 - Security and force protection is adequate to meet mission requirements,Receives,24
F1450,Security Forces,F1450 - Provide adequate security and force protection support to meet mission requirements,Provides,24
F0111,SSO,F0111 - Security Office (SSO) support is adequate to meet mission requirements,Receives,25
F1111,SSO,F1111 - Provide adequate Special Security Office (SSO) support to meet mission requirements,Provides,25
F0910,Support Agreements,F0910 - Support agreements with outside agencies are current and adequate to meet mission requirements,Receives,26
F1910,Support Agreements,F1910 - Provide support agreements with outside agencies current and adequate to meet mission requirements,Provides,26
F0441,Vehicles,F0441 - Vehicle support is adequate to meet mission requirements,Receives,27
F1441,Vehicles,F1441 - Provide adequate vehicle support to meet mission requirements,Provides,27
F0431,Work Space,F0431 - Work space is adequate to meet mission requirements,Receives,28
F1431,Work Space,F1431 - Provide work space adequate to meet mission requirements,Provides,28
