Field Comm,Delta,Reporting Unit,Location,Capability,Component,Squadron Type,Mission,Task Number,Task Title,Task Full Name,MET Display Title,,MET Analytics Series,MET Analytics Code,MET Analytics Name,MET Analytics Sort,MET Measure Full Name,Measure,Criteria Met,REMARK
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFTA 3.5.1.9.1,Perform Space Training,SFTA 3.5.1.9.1 - Perform Space Training,Perform Space Training,,T,T025,Training,2,"T025 - Meet training capacity demand for initial, recurring, advanced training and evaluation certifications. Note: Considerations include student throughput, task coverage, trainer availability/capacity, adequate facilities, certified instructors, etc.","Meet training capacity demand for initial, recurring, advanced training and evaluation certifications. Note: Considerations include student throughput, task coverage, trainer availability/capacity, adequate facilities, certified instructors, etc.",Y,"Personnel have successfully completed all required training. This specifically pertains to the measure: 'Meet training capacity demand for initial, recurring, advanced training and evaluation certifications. Note: Considerations include student throughput, task coverage, trainer availability/capacity, adequate facilities, certified instructors, etc.'."
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFTA 3.5.1.9.1,Perform Space Training,SFTA 3.5.1.9.1 - Perform Space Training,Perform Space Training,,T,T034,Training,2,T034 - Of performance-level objectives within the Master Task List  / Training Task List (including advanced training tasks) / Course Training Standard  that the simulator / training device is able to accurately model.,Of performance-level objectives within the Master Task List  / Training Task List (including advanced training tasks) / Course Training Standard  that the simulator / training device is able to accurately model.,Y,"T034 - Training programs are highly effective, ensuring mission readiness. This specifically pertains to the measure: 'Of performance-level objectives within the Master Task List  / Training Task List (including advanced training tasks) / Course Training Standard  that the simulator / training device is able to accurately model.'."
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFTA 3.5.1.9.1,Perform Space Training,SFTA 3.5.1.9.1 - Perform Space Training,Perform Space Training,,T,T038,Training,2,"T038 - Of programmed students who are able to start training without delay at first available opportunity. Note: Considerations for delay include pre-requisite training, family emergency, medical, administrative actions, student security clearances.","Of programmed students who are able to start training without delay at first available opportunity. Note: Considerations for delay include pre-requisite training, family emergency, medical, administrative actions, student security clearances.",Y,"T038 - The unit's training regimen is exemplary and well-executed. This specifically pertains to the measure: 'Of programmed students who are able to start training without delay at first available opportunity. Note: Considerations for delay include pre-requisite training, family emergency, medical, administrative actions, student security clearances.'."
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFTA 3.5.1.9.1,Perform Space Training,SFTA 3.5.1.9.1 - Perform Space Training,Perform Space Training,,T,T065,Training,2,"T065 - Provide training at appropriate classification level. Note: Considerations include facilities, equipment, instructor security clearance.","Provide training at appropriate classification level. Note: Considerations include facilities, equipment, instructor security clearance.",Y,"Training programs are highly effective, ensuring mission readiness. This specifically pertains to the measure: 'Provide training at appropriate classification level. Note: Considerations include facilities, equipment, instructor security clearance.'."
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFTA 3.5.1.1.1,Perform Space Launch Range Operations,SFTA 3.5.1.1.1 - Perform Space Launch Range Operations,Perform Space Launch Range Operations,,E,E016,Threat Environment and Threat Matrix for CAF units,6,E016 - Of Threat Environments (1 - 5) which this task can be accomplished,Of Threat Environments (1-5) which this task can be accomplished,Y,Standards related to Of Threat Environments (1-5) which this task can be accomplished are met or exceeded. This specifically pertains to the measure: 'Of Threat Environments (1-5) which this task can be accomplished'.
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFTA 3.5.1.9.1,Perform Space Training,SFTA 3.5.1.9.1 - Perform Space Training,Perform Space Training,,X,X060,Other functional based standards,13,X060 - Academic curriculum is developed for all knowledge-level objectives for assigned mission areas and respective crew positions.,Academic curriculum is developed for all knowledge-level objectives for assigned mission areas and respective crew positions.,Y,X060 - Standards related to Academic curriculum is developed for all knowledge-level objectives for assigned mission areas and respective crew positions. are met or exceeded. This specifically pertains to the measure: 'Academic curriculum is developed for all knowledge-level objectives for assigned mission areas and respective crew positions.'.
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0110,Installation,10,F0110 - Receives adequate force support to meet mission requirements, Receives adequate force support to meet mission requirements,Y,
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0111,Installation,10,F0111 - Receives adequate Special Security Office (SSO) support to meet mission requirements,Receives adequate Special Security Office (SSO) support to meet mission requirements,Y,
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0120,Installation,10,F0120 - Receives adequate Contracting Office support to meet mission requirements, Receives adequate Contracting Office support to meet mission requirements,Y,
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0122,Installation,10,F0122 - Receives adequate finance support to meet mission requirements, Receives adequate finance support to meet mission requirements,Y,
