Field Comm	Delta	Reporting Unit	Location	Capability	Component	Squadron Type	Mission	Task Number	Task Title	Task Full Name	MET Display Title	MET Analytics Series	MET Analytics Code	MET Analytics Name	MET Analytics Sort	MET Measure Full Name	Measure	Criteria Met	REMARK
Field Comm 1	02	0018 SPACE DEFENSE SQ 0000	Peterson Space Force Base	5SBDA	Active	Force Generation	Core	SFTA 3.5.1.2.1	Perform Support to Space Operations	SFTA 3.5.1.2.1 - Perform Support to Space Operations	Perform Support to Space Operations	P	P001	Personnel	1	P001 - Of SDA Combat Squadron MSE Unit Type Codes (UTCs) [Specific emphasis on Sensor Optimization personnel]	Of SDA Combat Squadron MSE Unit Type Codes (UTCs) [Specific emphasis on Sensor Optimization personnel]	Y	is augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 2	04	0005 SPACE WARNING SQ 0000	Patrick Space Force Base	Z2	Active	Force Generation	Core	SFTA 7.4.2.1.1	Conduct Force Generation, Employment, and Sustainment	SFTA 7.4.2.1.1 - Conduct Force Generation, Employment, and Sustainment	Conduct Force Generation, Employment, and Sustainment	P	P002	Personnel	1	P002 - Of the crew force will be maintained as mission ready personnel.	Of the crew force will be maintained as mission ready personnel.	Y	sum odor amet, consectetuer adipiscing elit. Turpis enim viverra interdum ligula dignissim sollicitudin semper nunc. Sapien rhoncus torquent massa quis neque turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 3	04	0005 SPACE WARNING SQ 0001	Peterson Space Force Base	Z2	Active	Force Generation	Core	SFTA 7.4.2.1.1	Conduct Force Generation, Employment, and Sustainment	SFTA 7.4.2.1.1 - Conduct Force Generation, Employment, and Sustainment	Conduct Force Generation, Employment, and Sustainment	P	P002	Personnel	1	P002 - Of the crew force will be maintained as mission ready personnel.	Of the crew force will be maintained as mission ready personnel.	Y	P002 - ng elit. Turpis enim viverra interdum ligula dignissim sollicitudin semper nunc. Sapien rhoncus torquent massa quis neque turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 2	04	0005 SPACE WARNING SQ 0002	Vandenberg Space Force Base	Z2	Active	Force Generation	Core	SFTA 7.4.2.1.1	Conduct Force Generation, Employment, and Sustainment	SFTA 7.4.2.1.1 - Conduct Force Generation, Employment, and Sustainment	Conduct Force Generation, Employment, and Sustainment	P	P002	Personnel	1	P002 - Of the crew force will be maintained as mission ready personnel.	Of the crew force will be maintained as mission ready personnel.	N	unc. Sapien rhoncus torquent massa quis neque turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 1	04	0005 SPACE WARNING SQ 0003	Los Angeles Air Force Base	Z2	Active	Force Generation	Core	SFTA 7.4.2.1.1	Conduct Force Generation, Employment, and Sustainment	SFTA 7.4.2.1.1 - Conduct Force Generation, Employment, and Sustainment	Conduct Force Generation, Employment, and Sustainment	P	P002	Personnel	1	P002 - Of the crew force will be maintained as mission ready personnel.	Of the crew force will be maintained as mission ready personnel.	N	dio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 1	07	0073 INTL/SURVEIL/RECON SQ 0006	Vandenberg Space Force Base	PS3AA	Active	Force Generation	Core	AFST 2.2.6	Provide Actionable Signals Intelligence (SIGINT)	AFST 2.2.6 - Provide Actionable Signals Intelligence (SIGINT)	Provide Actionable SIGINT in CDO Environments	P	P003	Personnel	1	P003 - Qualified personnel available to allow for timely and accurate satisfaction of programmed SIGINT capacity	Qualified personnel available to allow for timely and accurate satisfaction of programmed SIGINT capacity	Y	P003 - dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 1	08	0002 SPACE OPNS SQ 0000	Cheyenne Mountain Space Force Station	5SGAA	Active	Force Generation	Core	SFOP 3.5.7.1	Perform Satellite Command and Control (C2)	SFOP 3.5.7.1 - Perform Satellite Command and Control (C2)	Perform Satellite Command and Control (C2)	P	P004	Personnel	1	P004 - Fully CMR certified and available crews	Fully CMR certified and available crews	Y	urpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 1	08	0053 SPACE OPNS SQ 0003	Patrick Space Force Base	5SSFA	Reserve	Force Generation	Core	SFOP 3.5.7.1	Perform Satellite Command and Control (C2)	SFOP 3.5.7.1 - Perform Satellite Command and Control (C2)	Perform Satellite Command and Control (C2)	P	P004	Personnel	1	P004 - Fully CMR certified and available crews	Fully CMR certified and available crews	N	dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 1	07	0073 INTL/SURVEIL/RECON SQ 0004	New Boston Space Force Station	PS3AA	Active	Force Generation	Core	AFST 2.2.6	Provide Actionable Signals Intelligence (SIGINT)	AFST 2.2.6 - Provide Actionable Signals Intelligence (SIGINT)	Provide Actionable Signals Intelligence (SIGINT) in CDO environments	P	P005	Personnel	1	P005 - M02 -- Qualified personnel available to allow for timely and accurate satisfaction of all SIGINT tasking	M02 -- Qualified personnel available to allow for timely and accurate satisfaction of all SIGINT tasking	N	P005 - ignissim sollicitudin semper nunc. Sapien rhoncus torquent massa quis neque turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 3	07	0073 INTL/SURVEIL/RECON SQ 0004	New Boston Space Force Station	PS3AA	Active	Force Generation	Core	AFST 2.3.4	Process & Exploit Collected SIGINT Information	AFST 2.3.4 - Process & Exploit Collected SIGINT Information	Process & Exploit Collected SIGINT Information in CDO environments	P	P006	Personnel	1	P006 - M02 -- Qualified personnel available to allow for timely satisfaction of all SIGINT processing and exploitation requirements	M02 -- Qualified personnel available to allow for timely satisfaction of all SIGINT processing and exploitation requirements	Y	adipiscing elit. Turpis enim viverra interdum ligula dignissim sollicitudin semper nunc. Sapien rhoncus torquent massa quis neque turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
