Number,Category,Subcategory,Target Start Date,Target End Date,Actual Start Date,Current Progress Date,Actual End Date,Today
1.01,Evaluate,Assess Current Personnel,9/15/23,9/20/23,9/15/23,9/19/23,9/19/23,11/26/23
1.02,Evaluate,Assess Capacity,9/17/23,9/21/23,9/17/23,9/19/23,9/19/23,11/26/23
1.03,Evaluate,Perform Evaluation,9/22/23,9/30/23,9/22/23,9/27/23,9/27/23,11/26/23
2.01,Forecast,Assess Personnel Demand,9/25/23,10/3/23,9/27/23,10/10/23,10/10/23,11/26/23
2.02,Forecast,Examine Market Supply,9/25/23,10/7/23,9/27/23,10/7/23,10/7/23,11/26/23
2.03,Forecast,Balance Forecasted Personnel Demand with Supply,10/8/23,10/17/23,10/8/23,10/17/23,10/17/23,11/26/23
3.01,Recruit,Post on Job Websites,10/18/23,10/20/23,10/18/23,10/20/23,10/20/23,11/26/23
3.02,Recruit,Head Hunt on LinkedIn,10/18/23,11/1/23,10/25/23,11/7/23,11/7/23,11/26/23
3.03,Recruit,Review Leads,10/18/23,11/15/23,10/29/23,11/26/23,,11/26/23
3.04,Recruit,Review Applications,11/16/23,11/22/23,11/16/23,11/26/23,,11/26/23
3.05,Recruit,Manager Phone Interviews,11/23/23,11/29/23,11/23/23,11/26/23,,11/26/23
3.06,Recruit,Conduct Panel Interviews,11/30/23,12/10/23,,,,11/26/23
3.07,Recruit,Gather Panel Feedback,12/11/23,12/13/23,,,,11/26/23
3.08,Recruit,Contact Candidate with Offer/Rejection,12/14/23,12/31/23,,,,11/26/23
