Index	Observation	Attribute	Value
1	Mazda RX4	mpg	21
2	Mazda RX4	cyl	6
3	Mazda RX4	disp	160
4	Mazda RX4	hp	110
5	Mazda RX4	drat	3.9
6	Mazda RX4	wt	2.62
7	Mazda RX4	qsec	16.46
8	Mazda RX4	vs	0
9	Mazda RX4	am	1
10	Mazda RX4	gear	4
11	Mazda RX4	carb	4
12	Mazda RX4 Wag	mpg	21
13	Mazda RX4 Wag	cyl	6
14	Mazda RX4 Wag	disp	160
15	Mazda RX4 Wag	hp	110
16	Mazda RX4 Wag	drat	3.9
17	Mazda RX4 Wag	wt	2.875
18	Mazda RX4 Wag	qsec	17.02
19	Mazda RX4 Wag	vs	0
20	Mazda RX4 Wag	am	1
21	Mazda RX4 Wag	gear	4
22	Mazda RX4 Wag	carb	4
23	Datsun 710	mpg	22.8
24	Datsun 710	cyl	4
25	Datsun 710	disp	108
26	Datsun 710	hp	93
27	Datsun 710	drat	3.85
28	Datsun 710	wt	2.32
29	Datsun 710	qsec	18.61
30	Datsun 710	vs	1
31	Datsun 710	am	1
32	Datsun 710	gear	4
33	Datsun 710	carb	1
34	Hornet 4 Drive	mpg	21.4
35	Hornet 4 Drive	cyl	6
36	Hornet 4 Drive	disp	258
37	Hornet 4 Drive	hp	110
38	Hornet 4 Drive	drat	3.08
39	Hornet 4 Drive	wt	3.215
40	Hornet 4 Drive	qsec	19.44
41	Hornet 4 Drive	vs	1
42	Hornet 4 Drive	am	0
43	Hornet 4 Drive	gear	3
44	Hornet 4 Drive	carb	1
45	Hornet Sportabout	mpg	18.7
46	Hornet Sportabout	cyl	8
47	Hornet Sportabout	disp	360
48	Hornet Sportabout	hp	175
49	Hornet Sportabout	drat	3.15
50	Hornet Sportabout	wt	3.44
51	Hornet Sportabout	qsec	17.02
52	Hornet Sportabout	vs	0
53	Hornet Sportabout	am	0
54	Hornet Sportabout	gear	3
55	Hornet Sportabout	carb	2
56	Valiant	mpg	18.1
57	Valiant	cyl	6
58	Valiant	disp	225
59	Valiant	hp	105
60	Valiant	drat	2.76
61	Valiant	wt	3.46
62	Valiant	qsec	20.22
63	Valiant	vs	1
64	Valiant	am	0
65	Valiant	gear	3
66	Valiant	carb	1
67	Duster 360	mpg	14.3
68	Duster 360	cyl	8
69	Duster 360	disp	360
70	Duster 360	hp	245
71	Duster 360	drat	3.21
72	Duster 360	wt	3.57
73	Duster 360	qsec	15.84
74	Duster 360	vs	0
75	Duster 360	am	0
76	Duster 360	gear	3
77	Duster 360	carb	4
78	Merc 240D	mpg	24.4
79	Merc 240D	cyl	4
80	Merc 240D	disp	146.7
81	Merc 240D	hp	62
82	Merc 240D	drat	3.69
83	Merc 240D	wt	3.19
84	Merc 240D	qsec	20
85	Merc 240D	vs	1
86	Merc 240D	am	0
87	Merc 240D	gear	4
88	Merc 240D	carb	2
89	Merc 230	mpg	22.8
90	Merc 230	cyl	4
91	Merc 230	disp	140.8
92	Merc 230	hp	95
93	Merc 230	drat	3.92
94	Merc 230	wt	3.15
95	Merc 230	qsec	22.9
96	Merc 230	vs	1
97	Merc 230	am	0
98	Merc 230	gear	4
99	Merc 230	carb	2
100	Merc 280	mpg	19.2
101	Merc 280	cyl	6
102	Merc 280	disp	167.6
103	Merc 280	hp	123
104	Merc 280	drat	3.92
105	Merc 280	wt	3.44
106	Merc 280	qsec	18.3
107	Merc 280	vs	1
108	Merc 280	am	0
109	Merc 280	gear	4
110	Merc 280	carb	4
111	Merc 280C	mpg	17.8
112	Merc 280C	cyl	6
113	Merc 280C	disp	167.6
114	Merc 280C	hp	123
115	Merc 280C	drat	3.92
116	Merc 280C	wt	3.44
117	Merc 280C	qsec	18.9
118	Merc 280C	vs	1
119	Merc 280C	am	0
120	Merc 280C	gear	4
121	Merc 280C	carb	4
122	Merc 450SE	mpg	16.4
123	Merc 450SE	cyl	8
124	Merc 450SE	disp	275.8
125	Merc 450SE	hp	180
126	Merc 450SE	drat	3.07
127	Merc 450SE	wt	4.07
128	Merc 450SE	qsec	17.4
129	Merc 450SE	vs	0
130	Merc 450SE	am	0
131	Merc 450SE	gear	3
132	Merc 450SE	carb	3
133	Merc 450SL	mpg	17.3
134	Merc 450SL	cyl	8
135	Merc 450SL	disp	275.8
136	Merc 450SL	hp	180
137	Merc 450SL	drat	3.07
138	Merc 450SL	wt	3.73
