Index	Country_Index	Country	Year	Rates
1	1	AUS	2019	"1,44"
2	1	AUS	2020	"1,45"
3	1	AUS	2021	"1,33"
4	1	AUS	2022	"1,44"
5	2	BGR	2019	"1,75"
6	2	BGR	2020	"1,72"
7	2	BGR	2021	"1,65"
8	2	BGR	2022	"1,86"
9	3	CAN	2019	"1,33"
10	3	CAN	2020	"1,34"
11	3	CAN	2021	"1,25"
12	3	CAN	2022	"1,3"
13	4	CHE	2019	"0,99"
14	4	CHE	2020	"0,94"
15	4	CHE	2021	"0,91"
16	4	CHE	2022	"0,95"
17	5	CHN	2019	"6,91"
18	5	CHN	2020	"6,9"
19	5	CHN	2021	"6,45"
20	5	CHN	2022	"6,74"
21	6	CMR	2019	"585,91"
22	6	CMR	2020	"575,59"
23	6	CMR	2021	"554,53"
24	6	CMR	2022	"623,76"
25	7	CRI	2019	"587,29"
26	7	CRI	2020	"584,9"
27	7	CRI	2021	"620,78"
28	7	CRI	2022	"647,14"
29	8	CYP	2019	"0,89"
30	8	CYP	2020	"0,88"
31	8	CYP	2021	"0,85"
32	8	CYP	2022	"0,95"
33	9	CZE	2019	"22,93"
34	9	CZE	2020	"23,21"
35	9	CZE	2021	"21,68"
36	9	CZE	2022	"23,36"
37	10	DEU	2019	"0,89"
38	10	DEU	2020	"0,88"
39	10	DEU	2021	"0,85"
40	10	DEU	2022	"0,95"
41	11	EA19	2019	"0,89"
42	11	EA19	2020	"0,88"
43	11	EA19	2021	"0,85"
44	11	EA19	2022	"0,95"
45	12	EST	2019	"0,89"
46	12	EST	2020	"0,88"
47	12	EST	2021	"0,85"
48	12	EST	2022	"0,95"
49	13	EU27_2020	2019	"0,89"
50	13	EU27_2020	2020	"0,88"
51	13	EU27_2020	2021	"0,85"
52	13	EU27_2020	2022	"0,95"
53	14	FIN	2019	"0,89"
54	14	FIN	2020	"0,88"
55	14	FIN	2021	"0,85"
56	14	FIN	2022	"0,95"
57	15	GBR	2019	"0,78"
58	15	GBR	2020	"0,78"
59	15	GBR	2021	"0,73"
60	15	GBR	2022	"0,81"
61	16	GEO	2019	"2,82"
62	16	GEO	2020	"3,11"
63	16	GEO	2021	"3,22"
64	16	GEO	2022	"2,92"
65	17	HKG	2019	"7,84"
66	17	HKG	2020	"7,76"
67	17	HKG	2021	"7,77"
68	17	HKG	2022	"7,83"
69	18	HRV	2019	"6,62"
70	18	HRV	2020	"6,61"
71	18	HRV	2021	"6,36"
72	18	HRV	2022	"0,95"
73	19	IND	2019	"70,42"
74	19	IND	2020	"74,1"
75	19	IND	2021	"73,92"
76	19	IND	2022	"78,6"
77	20	IRL	2019	"0,89"
78	20	IRL	2020	"0,88"
79	20	IRL	2021	"0,85"
80	20	IRL	2022	"0,95"
81	21	ISR	2019	"3,56"
82	21	ISR	2020	"3,44"
83	21	ISR	2021	"3,23"
84	21	ISR	2022	"3,36"
85	22	JPN	2019	"109,01"
86	22	JPN	2020	"106,77"
87	22	JPN	2021	"109,75"
88	22	JPN	2022	"131,5"
89	23	LTU	2019	"0,89"
90	23	LTU	2020	"0,88"
91	23	LTU	2021	"0,85"
92	23	LTU	2022	"0,95"
93	24	LVA	2019	"0,89"
94	24	LVA	2020	"0,88"
95	24	LVA	2021	"0,85"
96	24	LVA	2022	"0,95"
97	25	MAR	2019	"9,62"
98	25	MAR	2020	"9,5"
99	25	MAR	2021	"8,99"
100	25	MAR	2022	"10,16"
101	26	MDG	2019	"3618,32"
102	26	MDG	2020	"3787,75"
103	26	MDG	2021	"3829,98"
104	26	MDG	2022	"4096,12"
105	27	MEX	2019	"19,26"
106	27	MEX	2020	"21,49"
107	27	MEX	2021	"20,27"
108	27	MEX	2022	"20,13"
109	28	MKD	2019	"54,95"
110	28	MKD	2020	"54,14"
111	28	MKD	2021	"52,1"
112	28	MKD	2022	"58,57"
113	29	MLT	2019	"0,89"
114	29	MLT	2020	"0,88"
115	29	MLT	2021	"0,85"
116	29	MLT	2022	"0,95"
117	30	NOR	2019	"8,8"
118	30	NOR	2020	"9,42"
119	30	NOR	2021	"8,59"
120	30	NOR	2022	"9,61"
121	31	NZL	2019	"1,52"
122	31	NZL	2020	"1,54"
123	31	NZL	2021	"1,41"
124	31	NZL	2022	"1,58"
125	32	RUS	2019	"64,74"
126	32	RUS	2020	"72,1"
127	32	RUS	2021	"73,65"
128	33	SAU	2019	"3,75"
129	33	SAU	2020	"3,75"
130	33	SAU	2021	"3,75"
131	33	SAU	2022	"3,75"
132	34	SEN	2019	"585,91"
133	34	SEN	2020	"575,59"
134	34	SEN	2021	"554,53"
135	34	SEN	2022	"623,76"
136	35	SVK	2019	"0,89"
137	35	SVK	2020	"0,88"
138	35	SVK	2021	"0,85"
139	35	SVK	2022	"0,95"
140	36	SWE	2019	"9,46"
141	36	SWE	2020	"9,21"
142	36	SWE	2021	"8,58"
143	36	SWE	2022	"10,11"
144	37	TUR	2019	"5,67"
145	37	TUR	2020	"7,01"
146	37	TUR	2021	"8,85"
147	38	ZAF	2019	"14,45"
148	38	ZAF	2020	"16,46"
149	38	ZAF	2021	"14,78"
150	38	ZAF	2022	"16,36"
151	39	ZMB	2019	"12,89"
152	39	ZMB	2020	"18,34"
153	39	ZMB	2021	"20,02"
154	39	ZMB	2022	"16,96"
