Type	Voice	Result
A	Power	10
A	Then	5
A	Zeld	32
A	Link	8
A	Nintend	2
A	Sega	7
B	Power	8
B	Then	4
B	Zeld	6
B	Link	8
B	Nintend	20
B	Sega	52
C	Power	9
C	Then	13
C	Zeld	25
C	Link	2
C	Nintend	2
C	Sega	3
D	Power	10
D	Then	20
D	Zeld	54
D	Link	10
D	Nintend	30
D	Sega	10
E	Power	3
E	Then	65
E	Zeld	9
E	Link	24
E	Nintend	35
E	Sega	22
F	Power	70
F	Then	17
F	Zeld	21
F	Link	80
F	Nintend	7
F	Sega	10
G	Power	9
G	Then	90
G	Zeld	20
G	Link	20
G	Nintend	100
G	Sega	20
H	Power	5
H	Then	5
H	Zeld	120
H	Link	5
H	Nintend	5
H	Sega	75
I	Power	33
I	Then	130
I	Zeld	33
I	Link	1
I	Nintend	0
I	Sega	0
J	Power	40
J	Then	11
J	Zeld	22
J	Link	11
J	Nintend	50
J	Sega	24
K	Power	3
K	Then	7
K	Zeld	60
K	Link	21
K	Nintend	12
K	Sega	22
L	Power	70
L	Then	10
L	Zeld	0
L	Link	10
L	Nintend	20
L	Sega	80
M	Power	30
M	Then	22
M	Zeld	25
M	Link	1
M	Nintend	140
M	Sega	19
N	Power	22
N	Then	27
N	Zeld	30
N	Link	5
N	Nintend	30
N	Sega	6
O	Power	22
O	Then	33
O	Zeld	8
O	Link	9
O	Nintend	38
O	Sega	31
